Date,Time,Open,High,Low,Close,Volume
06-01-2021,11:50:00,771.7,772.31,768.41,768.818,335852
06-01-2021,11:55:00,768.561,771.39,768.4,771.126,274590
06-01-2021,12:00:00,771.18,773.75,771.16,772.05,412591
06-01-2021,12:05:00,772,773.4,770.5,773.3,337493
06-01-2021,12:10:00,773.182,773.25,771.995,772.889,161563
06-01-2021,12:15:00,772.85,772.85,770.67,772.099,196841
06-01-2021,12:20:00,772,773.231,771.7,772.32,169953
06-01-2021,12:25:00,772.483,772.483,770.33,771.145,211737
06-01-2021,12:30:00,771.18,771.27,769.59,770.57,194929
06-01-2021,12:35:00,770.61,770.66,769.11,769.228,137289
06-01-2021,12:40:00,769.206,771.67,768.342,771.327,257777
06-01-2021,12:45:00,771.272,772.05,771.05,771.86,148672
06-01-2021,12:50:00,772,772.5,771.128,771.8,162142
06-01-2021,12:55:00,771.722,772,770.86,771.033,84723
06-01-2021,13:00:00,771.24,771.35,769.699,770.086,156846
06-01-2021,13:05:00,770.085,770.35,769.378,770,106541
06-01-2021,13:10:00,770.005,770.75,768.73,769.68,156790
06-01-2021,13:15:00,769.742,770.11,768.58,769.21,141808
06-01-2021,13:20:00,769.03,770.49,768.95,770.11,146146
06-01-2021,13:25:00,770.11,770.3,769.26,769.69,106886
06-01-2021,13:30:00,769.615,770.52,769.257,770.3,149796
06-01-2021,13:35:00,770.374,770.49,769.6,770.03,104620
06-01-2021,13:40:00,770.058,771.76,769.5,771.429,184050
06-01-2021,13:45:00,771.35,771.47,770.5,770.909,106478
06-01-2021,13:50:00,770.8,771.28,770.27,770.9,105066
06-01-2021,13:55:00,770.86,772.15,770.8,771.655,152922
06-01-2021,14:00:00,771.8,772.171,771.16,771.945,154865
06-01-2021,14:05:00,772.01,774,772.01,773.005,333215
06-01-2021,14:10:00,773.036,773.4,771.91,772.478,156311
06-01-2021,14:15:00,772.6,772.6,769,769.38,277951
06-01-2021,14:20:00,769.35,770.85,767.2,768.28,319012
06-01-2021,14:25:00,768.22,768.48,764.4,764.5,493022
06-01-2021,14:30:00,764.51,767.93,763.02,766.325,416611
06-01-2021,14:35:00,766.32,766.494,759,760.6,539703
06-01-2021,14:40:00,760.43,762.5,758,759.256,560714
06-01-2021,14:45:00,759.402,760.72,750,750.992,705756
06-01-2021,14:50:00,750.855,759.9,750.855,759.5,791130
06-01-2021,14:55:00,759.46,763.8,759.35,761.677,580774
06-01-2021,15:00:00,761.844,762.455,754.845,756.65,456125
06-01-2021,15:05:00,756.516,761,754.77,757.695,441212
06-01-2021,15:10:00,757.8,762.2,757.7,760.59,423216
